District,ASER_District_Name,% Can Do Subtraction (Std III-V),% Can Do Division (Std VI-VIII),% Can Read Std II Text (Std III-V),% Can Read Std II Text (Std VI-VIII),% Not Enrolled in School (6-14)
Bagalkote,Bagalkot,39.3,46.6,20.8,57.5,0.5
Belagavi,Belgaum,29.4,24.8,19.1,36.8,0.1
Ballari,Bellary,22.4,19.1,16.9,35.9,0.7
Bengaluru (Rural),Bengaluru Rural,44.7,40.8,17.3,52.4,0.0
Bengaluru (Urban),Bengaluru Urban,49.7,46.2,17.6,56.4,0.0
Bidar,Bidar,35.4,33.0,16.3,43.6,0.7
Chamarajanagara,Chamarajanagar,45.0,35.3,30.4,62.0,0.0
Chikkaballapura,Chikkaballapur,36.9,28.3,15.2,44.8,0.2
Chikkamagaluru,Chikkamagaluru,53.2,49.9,46.0,76.9,0.0
Chitradurga,Chitradurga,52.2,36.5,18.9,48.8,0.0
Dakshina Kannada,Dakshina Kannada,58.9,40.8,50.0,74.7,0.0
Davanagere,Davanagere,43.7,27.0,23.7,52.4,0.1
Dharwada,Dharwad,28.2,38.5,21.6,58.6,0.0
Gadag,Gadag,35.9,31.1,27.9,54.3,0.0
Hassan,Hassan,59.6,46.4,39.4,71.0,0.2
Haveri,Haveri,38.8,32.9,31.1,50.2,0.1
Kalburgi,Kalaburagi,24.2,27.7,20.0,49.6,0.7
Kodagu,Kodagu,43.7,39.6,45.3,74.1,0.9
Kolara,Kolar,45.8,34.6,20.1,43.5,0.0
Koppal,Koppal,48.3,33.4,32.3,53.3,0.1
Mandya,Mandya,43.1,27.4,31.3,52.2,0.0
Mysuru,Mysuru,38.6,33.1,23.8,52.4,0.7
Raichuru,Raichur,19.5,18.5,11.7,34.6,0.5
Ramanagara,Ramanagara,57.1,38.2,29.2,61.3,0.0
Shivamogga,Shivamogga,51.3,38.8,39.5,62.4,0.2
Tumakuru,Tumakuru,44.4,34.1,30.8,57.3,0.7
Udupi,Udupi,80.6,64.2,57.8,85.9,0.0
Uttara Kannada,Uttara Kannada,75.7,61.0,66.4,82.9,0.0
Vijayapura,Vijayapura,33.3,33.4,21.8,53.6,1.2
Yadgiri,Yadgir,37.1,22.8,9.5,48.4,0.7
