District,ASER_District_Name,road_access_pct,mobile_per_1000_children,internet_per_1000_children,out_of_school_rate,gender_parity_index,lp_school_density_per_1000,road_access_norm,mobile_per_1000_children_norm,internet_per_1000_children_norm,out_of_school_norm,gender_parity_norm,lp_school_density_norm,Infrastructure_Index,Education_Access_Index
Belagavi,Belgaum,81.97,313.7629387938794,16.35913591359136,0.012234101644291385,0.9314758524772297,9.421265141318978,67.9978700745474,8.281321767425004,1.7100456968436242,98.24179463177516,87.4162687032993,9.54292439014214,38.139595920986196,65.06699590840553
Bagalkote,Bagalkot,78.94,140.32893523563632,9.495867352926384,0.006370409114379019,0.924854297497725,4.853196071222229,62.61980830670927,1.7947806831870299,0.7993872640739851,99.17218778239099,85.88408200717701,2.332600401789844,32.20729449494815,62.46295673045262
Vijayapura,Vijayapura,97.57,258.69918009721647,7.175594882449763,0.020618596432404726,0.903811718428932,5.570017073921684,95.68690095846644,6.221902474145971,0.49152000332409335,96.91142533249145,81.01495990502741,3.464043817335477,50.95440171630621,60.463476351618105
Kalburgi,Kalaburagi,100.0,174.50260272244532,8.3853600135194,0.1198171362278047,0.9270483118598667,26.85756087365451,100.0,3.0728973938921054,0.6520386845532147,81.17157514322665,86.39176330366702,37.064693316504055,51.53644869694605,68.20934392113257
Bidar,Bidar,95.66,284.1286919660553,7.20797974323089,0.08850451615510517,0.9291772986554924,42.617565698478565,92.29676961306353,7.172982251497399,0.49581701520753135,86.1399542140697,86.88439762514804,61.940573935045165,49.73487593228047,78.3216419247543
Raichuru,Raichur,89.22,664.7852134188041,37.21265284907949,0.10733577792986544,0.7291633817918073,4.987229669482688,80.86616968406106,21.409776160006658,4.477011739677125,83.15199451404898,40.602419538972775,2.5441614911588575,51.13797292203386,42.09952518139354
Koppal,Koppal,95.75,587.2545028015278,599.9470068567957,0.30410607632289366,0.9434926775352307,3.8056446967826876,92.45651402200923,18.51007869935131,79.1438822484789,51.93041580138718,90.19688738584247,0.6791261026385682,55.48329636068027,47.60214309662274
Gadag,Gadag,100.0,646.5490729413694,16.859960498349544,0.19643819358711148,0.9445692187063937,3.375387339530766,100.0,20.727733008156733,1.7764980187099573,69.01409816154957,90.44599232650812,0.0,60.363866504078366,53.15336349601923
Dharwada,Dharwad,99.71,616.2383524244763,57.13776993971664,0.03941028650854525,0.9080459770114943,23.96201413427562,99.48526801561944,19.594092949737302,7.120792285655517,93.92974448102328,81.99474104227149,32.49430924525429,59.53968048267837,69.47293158951636
Uttara Kannada,Uttara Kannada,60.69,2414.66976761311,141.75784390130153,0.050906503765854615,0.9766745105650033,54.76114818345514,30.22719204827831,86.85656179938096,18.348676383963568,92.10563761668332,97.87495745828498,81.10822721531987,58.54187692382963,90.36294076342939
Haveri,Haveri,97.85,1006.3704059572425,36.41604612058612,0.06433523458354938,0.5536944562629226,5.475324293536177,96.18388356407524,34.185277732417944,4.37131332084194,89.97489847739328,0.0,3.3145789963223975,65.1845806482466,31.09649249123856
Ballari,Bellary,100.0,687.0450527882754,16.33490317349909,0.10733577792986544,0.9348597586065012,3.5510815359199617,100.0,22.242308187384577,1.706830355797433,83.15199451404898,88.19928356434694,0.2773189414170715,61.12115409369229,57.20953233993766
Chitradurga,Chitradurga,43.66,578.6240659623808,15.55784591600103,0.6313913653518227,0.936994040786177,11.756497988629446,0.0,18.187294920026005,1.6037258745971672,0.0,88.69314320480781,13.228898739254664,9.093647460013003,33.974013981354155
Davanagere,Davanagere,96.99,484.22360248447205,28.00092017483322,0.14517655490522174,0.9332372718539865,39.3469387755102,94.65743698970536,14.65665806590457,3.2547454148097206,77.14779161080112,87.82385020699627,56.77815642389089,54.65704752780496,73.9165994138961
Shivamogga,Shivamogga,84.82,2332.5613000784797,77.71376069521276,0.053566987430889015,0.9459529928856111,13.28306777015286,73.05644302449413,83.7856533437139,9.85093453908166,91.68349819401644,90.76618907702925,15.638464476267231,78.42104818410402,66.02938391577096
